Task One-One:
| round:  | I_bar   | s_bar   |
| 1       | 2.396   | 0.007   |
| 2       | 2.391   | 0.007   |
| 3       | 2.389   | 0.007   |
| 4       | 2.391   | 0.007   |
| 5       | 2.399   | 0.007   |
| 6       | 2.393   | 0.007   |
| 7       | 2.395   | 0.007   |
| 8       | 2.396   | 0.007   |
| 9       | 2.396   | 0.007   |
| 10      | 2.397   | 0.007   |

Task One-Two:
lambda = 0.100
| round:  | I_bar   | s_bar   |
| 1       | 0.397   | 0.007   |
| 2       | 0.403   | 0.007   |
| 3       | 0.396   | 0.007   |
| 4       | 0.396   | 0.007   |
| 5       | 0.406   | 0.007   |
| 6       | 0.403   | 0.007   |
| 7       | 0.396   | 0.007   |
| 8       | 0.402   | 0.007   |
| 9       | 0.395   | 0.007   |
| 10      | 0.398   | 0.007   |

lambda = 1.000
| round:  | I_bar   | s_bar   |
| 1       | 0.397   | 0.001   |
| 2       | 0.398   | 0.001   |
| 3       | 0.397   | 0.001   |
| 4       | 0.398   | 0.001   |
| 5       | 0.398   | 0.001   |
| 6       | 0.397   | 0.001   |
| 7       | 0.397   | 0.001   |
| 8       | 0.396   | 0.001   |
| 9       | 0.399   | 0.001   |
| 10      | 0.398   | 0.001   |

lambda = 10.000
| round:  | I_bar   | s_bar   |
| 1       | 0.361   | 0.030   |
| 2       | 0.350   | 0.031   |
| 3       | 0.445   | 0.142   |
| 4       | 0.352   | 0.028   |
| 5       | 0.428   | 0.084   |
| 6       | 0.369   | 0.030   |
| 7       | 0.391   | 0.038   |
| 8       | 0.354   | 0.024   |
| 9       | 0.410   | 0.085   |
| 10      | 0.636   | 0.441   |

Task Two-One:
| round:  | I_bar   | s_bar   |
| 1       | 6.280   | 0.019   |
| 2       | 6.281   | 0.019   |
| 3       | 6.294   | 0.019   |
| 4       | 6.296   | 0.019   |
| 5       | 6.283   | 0.019   |
| 6       | 6.283   | 0.019   |
| 7       | 6.273   | 0.019   |
| 8       | 6.296   | 0.019   |
| 9       | 6.282   | 0.019   |
| 10      | 6.283   | 0.019   |

Task Two-Two:
| round:  | I_bar   | s_bar   |
| 1       | 0.419   | 0.003   |
| 2       | 0.417   | 0.003   |
| 3       | 0.419   | 0.003   |
| 4       | 0.417   | 0.003   |
| 5       | 0.420   | 0.003   |
| 6       | 0.417   | 0.003   |
| 7       | 0.420   | 0.003   |
| 8       | 0.418   | 0.003   |
| 9       | 0.419   | 0.003   |
| 10      | 0.420   | 0.003   |

Task Three:
| # Samples:| I_bar   | s_bar   |
| 2000000 | 11.142  | 0.114   |
| 2500000 | 11.051  | 0.102   |
| 2550000 | 11.020  | 0.101   |
| 2560000 | 11.102  | 0.101   |
| 2570000 | 11.128  | 0.101   |
| 2580000 | 11.146  | 0.101   |
| 2590000 | 11.131  | 0.100   |
| 2600000 | 11.062  | 0.100   |
