Task One-One:
| round:  | I_bar   | s_bar   |
| 1       | 2.394   | 0.007   |
| 2       | 2.384   | 0.007   |
| 3       | 2.392   | 0.007   |
| 4       | 2.393   | 0.007   |
| 5       | 2.395   | 0.007   |
| 6       | 2.389   | 0.007   |
| 7       | 2.394   | 0.007   |
| 8       | 2.399   | 0.007   |
| 9       | 2.386   | 0.007   |
| 10      | 2.392   | 0.007   |

Task One-Two:
lambda = 0.100
| round:  | I_bar   | s_bar   |
| 1       | 0.395   | 0.007   |
| 2       | 0.399   | 0.007   |
| 3       | 0.399   | 0.007   |
| 4       | 0.399   | 0.007   |
| 5       | 0.393   | 0.007   |
| 6       | 0.393   | 0.007   |
| 7       | 0.396   | 0.007   |
| 8       | 0.397   | 0.007   |
| 9       | 0.398   | 0.007   |
| 10      | 0.406   | 0.007   |

lambda = 1.000
| round:  | I_bar   | s_bar   |
| 1       | 0.397   | 0.001   |
| 2       | 0.400   | 0.001   |
| 3       | 0.398   | 0.001   |
| 4       | 0.397   | 0.001   |
| 5       | 0.398   | 0.001   |
| 6       | 0.397   | 0.001   |
| 7       | 0.397   | 0.001   |
| 8       | 0.397   | 0.001   |
| 9       | 0.397   | 0.001   |
| 10      | 0.398   | 0.001   |

lambda = 10.000
| round:  | I_bar   | s_bar   |
| 1       | 0.426   | 0.106   |
| 2       | 0.373   | 0.038   |
| 3       | 0.385   | 0.050   |
| 4       | 0.344   | 0.016   |
| 5       | 0.381   | 0.041   |
| 6       | 0.429   | 0.090   |
| 7       | 0.366   | 0.034   |
| 8       | 0.417   | 0.070   |
| 9       | 0.398   | 0.065   |
| 10      | 0.343   | 0.020   |

Task Two-One:
| round:  | I_bar   | s_bar   |
| 1       | 6.287   | 0.019   |
| 2       | 6.274   | 0.019   |
| 3       | 6.293   | 0.019   |
| 4       | 6.274   | 0.019   |
| 5       | 6.272   | 0.019   |
| 6       | 6.286   | 0.019   |
| 7       | 6.294   | 0.019   |
| 8       | 6.305   | 0.019   |
| 9       | 6.295   | 0.019   |
| 10      | 6.282   | 0.019   |

Task Two-Two:
| round:  | I_bar   | s_bar   |
| 1       | 0.657   | 0.004   |
| 2       | 0.656   | 0.004   |
| 3       | 0.656   | 0.004   |
| 4       | 0.657   | 0.004   |
| 5       | 0.660   | 0.004   |
| 6       | 0.660   | 0.004   |
| 7       | 0.659   | 0.004   |
| 8       | 0.657   | 0.004   |
| 9       | 0.659   | 0.004   |
| 10      | 0.658   | 0.004   |

Task Three:
| # Samples:| I_bar   | s_bar   |
| 2000000 | 11.140  | 0.114   |
| 2500000 | 11.164  | 0.102   |
| 2550000 | 11.101  | 0.101   |
| 2600000 | 11.077  | 0.100   |
| 2601000 | 11.091  | 0.100   |
| 2602000 | 11.095  | 0.100   |
| 2603000 | 11.048  | 0.100   |
